Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Fuzzy chance of admit,Difference
1,337,118,4,4.5,4.5,9.65,1,0.92,0.89,0.030000000000000027
2,324,107,4,4.0,4.5,8.87,1,0.76,0.89,0.13
3,316,104,3,3.0,3.5,8.0,1,0.72,0.87,0.15000000000000002
4,322,110,3,3.5,2.5,8.67,1,0.8,0.71,0.09000000000000008
5,314,103,2,2.0,3.0,8.21,0,0.65,0.61,0.040000000000000036
6,330,115,5,4.5,3.0,9.34,1,0.9,0.89,0.010000000000000009
7,321,109,3,3.0,4.0,8.2,1,0.75,0.87,0.12
8,308,101,2,3.0,4.0,7.9,0,0.68,0.86,0.17999999999999994
9,302,102,1,2.0,1.5,8.0,0,0.5,0.6,0.09999999999999998
10,323,108,3,3.5,3.0,8.6,0,0.45,0.88,0.43
11,325,106,3,3.5,4.0,8.4,1,0.52,0.88,0.36
12,327,111,4,4.0,4.5,9.0,1,0.84,0.89,0.050000000000000044
13,328,112,4,4.0,4.5,9.1,1,0.78,0.89,0.10999999999999999
14,307,109,3,4.0,3.0,8.0,1,0.62,0.87,0.25
15,311,104,3,3.5,2.0,8.2,1,0.61,0.6,0.010000000000000009
16,314,105,3,3.5,2.5,8.3,0,0.54,0.7,0.15999999999999992
17,317,107,3,4.0,3.0,8.7,0,0.66,0.88,0.21999999999999997
18,319,106,3,4.0,3.0,8.0,1,0.65,0.87,0.21999999999999997
19,318,110,3,4.0,3.0,8.8,0,0.63,0.88,0.25
20,303,102,3,3.5,3.0,8.5,0,0.62,0.88,0.26
21,312,107,3,3.0,2.0,7.9,1,0.64,0.58,0.06000000000000005
22,325,114,4,3.0,2.0,8.4,0,0.7,0.62,0.07999999999999996
23,328,116,5,5.0,5.0,9.5,1,0.94,0.89,0.04999999999999993
24,334,119,5,5.0,4.5,9.7,1,0.95,0.89,0.05999999999999994
25,336,119,5,4.0,3.5,9.8,1,0.97,0.89,0.07999999999999996
26,340,120,5,4.5,4.5,9.6,1,0.94,0.89,0.04999999999999993
27,322,109,5,4.5,3.5,8.8,0,0.76,0.88,0.12
28,298,98,2,1.5,2.5,7.5,1,0.44,0.51,0.07
29,295,93,1,2.0,2.0,7.2,0,0.46,0.65,0.19
30,310,99,2,1.5,2.0,7.3,0,0.54,0.51,0.030000000000000027
31,300,97,2,3.0,3.0,8.1,1,0.65,0.87,0.21999999999999997
32,327,103,3,4.0,4.0,8.3,1,0.74,0.87,0.13
33,338,118,4,3.0,4.5,9.4,1,0.91,0.89,0.020000000000000018
34,340,114,5,4.0,4.0,9.6,1,0.9,0.89,0.010000000000000009
35,331,112,5,4.0,5.0,9.8,1,0.94,0.89,0.04999999999999993
36,320,110,5,5.0,5.0,9.2,1,0.88,0.89,0.010000000000000009
37,299,106,2,4.0,4.0,8.4,0,0.64,0.88,0.24
38,300,105,1,1.0,2.0,7.8,0,0.58,0.58,0.0
39,304,105,1,3.0,1.5,7.5,0,0.52,0.6,0.07999999999999996
40,307,108,2,4.0,3.5,7.7,0,0.48,0.86,0.38
41,308,110,3,3.5,3.0,8.0,1,0.46,0.87,0.41
42,316,105,2,2.5,2.5,8.2,1,0.49,0.69,0.19999999999999996
43,313,107,2,2.5,2.0,8.5,1,0.53,0.62,0.08999999999999997
44,332,117,4,4.5,4.0,9.1,0,0.87,0.89,0.020000000000000018
45,326,113,5,4.5,4.0,9.4,1,0.91,0.89,0.020000000000000018
46,322,110,5,5.0,4.0,9.1,1,0.88,0.89,0.010000000000000009
47,329,114,5,4.0,5.0,9.3,1,0.86,0.89,0.030000000000000027
48,339,119,5,4.5,4.0,9.7,0,0.89,0.89,0.0
49,321,110,3,3.5,5.0,8.85,1,0.82,0.89,0.07000000000000006
50,327,111,4,3.0,4.0,8.4,1,0.78,0.88,0.09999999999999998
51,313,98,3,2.5,4.5,8.3,1,0.76,0.7,0.06000000000000005
52,312,100,2,1.5,3.5,7.9,1,0.56,0.53,0.030000000000000027
53,334,116,4,4.0,3.0,8.0,1,0.78,0.87,0.08999999999999997
54,324,112,4,4.0,2.5,8.1,1,0.72,0.69,0.030000000000000027
55,322,110,3,3.0,3.5,8.0,0,0.7,0.87,0.17000000000000004
56,320,103,3,3.0,3.0,7.7,0,0.64,0.86,0.21999999999999997
57,316,102,3,2.0,3.0,7.4,0,0.64,0.54,0.09999999999999998
58,298,99,2,4.0,2.0,7.6,0,0.46,0.56,0.10000000000000003
59,300,99,1,3.0,2.0,6.8,1,0.36,0.65,0.29000000000000004
60,311,104,2,2.0,2.0,8.3,0,0.42,0.61,0.19
61,309,100,2,3.0,3.0,8.1,0,0.48,0.87,0.39
62,307,101,3,4.0,3.0,8.2,0,0.47,0.87,0.4
63,304,105,2,3.0,3.0,8.2,1,0.54,0.87,0.32999999999999996
64,315,107,2,4.0,3.0,8.5,1,0.56,0.88,0.31999999999999995
65,325,111,3,3.0,3.5,8.7,0,0.52,0.88,0.36
66,325,112,4,3.5,3.5,8.92,0,0.55,0.89,0.33999999999999997
67,327,114,3,3.0,3.0,9.02,0,0.61,0.89,0.28
68,316,107,2,3.5,3.5,8.64,1,0.57,0.88,0.31000000000000005
69,318,109,3,3.5,4.0,9.22,1,0.68,0.89,0.20999999999999996
70,328,115,4,4.5,4.0,9.16,1,0.78,0.89,0.10999999999999999
71,332,118,5,5.0,5.0,9.64,1,0.94,0.89,0.04999999999999993
72,336,112,5,5.0,5.0,9.76,1,0.96,0.89,0.06999999999999995
73,321,111,5,5.0,5.0,9.45,1,0.93,0.89,0.040000000000000036
74,314,108,4,4.5,4.0,9.04,1,0.84,0.89,0.050000000000000044
75,314,106,3,3.0,5.0,8.9,0,0.74,0.89,0.15000000000000002
76,329,114,2,2.0,4.0,8.56,1,0.72,0.62,0.09999999999999998
77,327,112,3,3.0,3.0,8.72,1,0.74,0.88,0.14
78,301,99,2,3.0,2.0,8.22,0,0.64,0.61,0.030000000000000027
79,296,95,2,3.0,2.0,7.54,1,0.44,0.56,0.12000000000000005
80,294,93,1,1.5,2.0,7.36,0,0.46,0.6,0.13999999999999996
81,312,105,3,2.0,3.0,8.02,1,0.5,0.59,0.08999999999999997
82,340,120,4,5.0,5.0,9.5,1,0.96,0.89,0.06999999999999995
83,320,110,5,5.0,4.5,9.22,1,0.92,0.89,0.030000000000000027
84,322,115,5,4.0,4.5,9.36,1,0.92,0.89,0.030000000000000027
85,340,115,5,4.5,4.5,9.45,1,0.94,0.89,0.04999999999999993
86,319,103,4,4.5,3.5,8.66,0,0.76,0.88,0.12
87,315,106,3,4.5,3.5,8.42,0,0.72,0.88,0.16000000000000003
88,317,107,2,3.5,3.0,8.28,0,0.66,0.87,0.20999999999999996
89,314,108,3,4.5,3.5,8.14,0,0.64,0.87,0.22999999999999998
90,316,109,4,4.5,3.5,8.76,1,0.74,0.88,0.14
91,318,106,2,4.0,4.0,7.92,1,0.64,0.86,0.21999999999999997
92,299,97,3,5.0,3.5,7.66,0,0.38,0.86,0.48
93,298,98,2,4.0,3.0,8.03,0,0.34,0.87,0.53
94,301,97,2,3.0,3.0,7.88,1,0.44,0.86,0.42
95,303,99,3,2.0,2.5,7.66,0,0.36,0.56,0.20000000000000007
96,304,100,4,1.5,2.5,7.84,0,0.42,0.53,0.11000000000000004
97,306,100,2,3.0,3.0,8.0,0,0.48,0.87,0.39
98,331,120,3,4.0,4.0,8.96,1,0.86,0.89,0.030000000000000027
99,332,119,4,5.0,4.5,9.24,1,0.9,0.89,0.010000000000000009
100,323,113,3,4.0,4.0,8.88,1,0.79,0.89,0.09999999999999998
101,322,107,3,3.5,3.5,8.46,1,0.71,0.88,0.17000000000000004
102,312,105,2,2.5,3.0,8.12,0,0.64,0.69,0.04999999999999993
103,314,106,2,4.0,3.5,8.25,0,0.62,0.87,0.25
104,317,104,2,4.5,4.0,8.47,0,0.57,0.88,0.31000000000000005
105,326,112,3,3.5,3.0,9.05,1,0.74,0.89,0.15000000000000002
106,316,110,3,4.0,4.5,8.78,1,0.69,0.88,0.19000000000000006
107,329,111,4,4.5,4.5,9.18,1,0.87,0.89,0.020000000000000018
108,338,117,4,3.5,4.5,9.46,1,0.91,0.89,0.020000000000000018
109,331,116,5,5.0,5.0,9.38,1,0.93,0.89,0.040000000000000036
110,304,103,5,5.0,4.0,8.64,0,0.68,0.88,0.19999999999999996
111,305,108,5,3.0,3.0,8.48,0,0.61,0.88,0.27
112,321,109,4,4.0,4.0,8.68,1,0.69,0.88,0.19000000000000006
113,301,107,3,3.5,3.5,8.34,1,0.62,0.88,0.26
114,320,110,2,4.0,3.5,8.56,0,0.72,0.88,0.16000000000000003
115,311,105,3,3.5,3.0,8.45,1,0.59,0.88,0.29000000000000004
116,310,106,4,4.5,4.5,9.04,1,0.66,0.89,0.22999999999999998
117,299,102,3,4.0,3.5,8.62,0,0.56,0.88,0.31999999999999995
118,290,104,4,2.0,2.5,7.46,0,0.45,0.55,0.10000000000000003
119,296,99,2,3.0,3.5,7.28,0,0.47,0.86,0.39
120,327,104,5,3.0,3.5,8.84,1,0.71,0.89,0.18000000000000005
121,335,117,5,5.0,5.0,9.56,1,0.94,0.89,0.04999999999999993
122,334,119,5,4.5,4.5,9.48,1,0.94,0.89,0.04999999999999993
123,310,106,4,1.5,2.5,8.36,0,0.57,0.56,0.009999999999999898
124,308,108,3,3.5,3.5,8.22,0,0.61,0.87,0.26
